title,overview,genre_id,media_type,tmdb_id,poster_path,platform_ids,vote_average,popularity,release_date,platforms
The Umbrella Academy,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",10759,tv,75006,/qhcwrnnCnN8NE1N6XXKHFmveJR9.jpg,[8],8.527,30.1617,,['Netflix']
The Rising of the Shield Hero,"Iwatani Naofumi, a run-of-the-mill otaku, finds a book in the library that summons him to another world. He is tasked with joining the sword, spear, and bow as one of the Four Cardinal Heroes and fighting the Waves of Catastrophe as the Shield Hero. Excited by the prospect of a grand adventure, Naofumi sets off with his party. However, merely a few days later, he is betrayed and loses all his money, dignity, and respect. Unable to trust anyone anymore, he employs a slave named Raphtalia and takes on the Waves and the world. But will he really find a way to overturn this desperate situation?",10759,tv,83095,/yjq2n0agGJfmZQ9NpbYIhuBofcq.jpg,[8],8.526,14.3577,,['Netflix']
BLUE EYE SAMURAI,"Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.",10759,tv,225180,/fXm3JT4WLQVnwukdvghtAblc1wc.jpg,[8],8.525,10.3801,,['Netflix']
Vincenzo,"At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South Korea where he gets involved with lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back in his motherland, he gives an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice.",10759,tv,117376,/dvXJgEDQXhL9Ouot2WkBHpQiHGd.jpg,[8],8.521,22.8764,,['Netflix']
Black Clover,"Asta and Yuno are two orphans who want the same thing: to become the Wizard King. Locked in a friendly rivalry, they work hard towards their goal. While Yuno excels at magic, Asta has a problem uncommon in this world: he has no powers! But, on the day they receive their grimoires, they surprise everyone. To reach their goal, they’ll each find their own path to greatness—with or without magic.",10759,tv,73223,/kaMisKeOoTBPxPkbC3OW7Wgt6ON.jpg,[8],8.5,17.571,,['Netflix']
Mob Psycho 100,"Shigeo Kageyama, a.k.a. ""Mob,"" is a boy who has trouble expressing himself, but who happens to be a powerful esper. Mob is determined to live a normal life and keeps his ESP suppressed, but when his emotions surge to a level of 100%, something terrible happens to him! As he's surrounded by false espers, evil spirits, and mysterious organizations, what will Mob think? What choices will he make?",10759,tv,67075,/vR7hwaGQ0ySRoq1WobiNRaPs4WO.jpg,[8],8.5,33.5287,,['Netflix']
Magi,"This story is about the flow of fate and the battle to keep the world on the right path. Aladdin is a boy who has set out to explore the world after being trapped in a room for most of his life. His best friend is a flute with a djinn in it named Ugo. Soon enough, Aladdin discovers he is a Magi, a magician who chooses kings, and he was born to choose kings who will follow the righteous path, battling against those who want to destroy fate. Follow his adventures as he meets others from 1001 Arabian Nights, like Ali Baba and Sinbad, and fights to keep the balance of world in check!",10759,tv,60654,/cDIDw98GGkVvyDa2ko0KGmE5g2A.jpg,[8],8.5,8.5089,,['Netflix']
Vinland Saga,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",10759,tv,88803,/vUHlpA5c1NXkds59reY3HMb4Abs.jpg,[8],8.499,8.6994,,['Netflix']
Overlord,"In the year 2138, virtual reality gaming is booming. Yggdrasil, a popular online game is quietly shut down one day. However, one player named Momonga decides to not log out. Momonga is then transformed into the image of a skeleton as ""the most powerful wizard."" The world continues to change, with non-player characters (NPCs) beginning to feel emotion. Having no parents, friends, or place in society, this ordinary young man Momonga then strives to take over the new world the game has become.",10759,tv,64196,/aSjpVCanDAwCopdjIgWwrxOWnWf.jpg,[8],8.5,21.5045,,['Netflix']
Tomorrow,"Once guiding the 'dead', now saving those who want to die! The Afterlife Office Human Fantasy.",10759,tv,136369,/7pOC2Wr6aavn6OPkFJ9YqhCV5hW.jpg,[8],8.477,5.8307,,['Netflix']
Cyberpunk: Edgerunners,"In a dystopia riddled with corruption and cybernetic implants, a talented but reckless street kid strives to become a mercenary outlaw — an edgerunner.",10759,tv,105248,/lqcDVZ8pyk08AVftMBildDR3QUK.jpg,[8],8.473,11.0674,,['Netflix']
Record of Ragnarok,"Before eradicating humankind from the world, the gods give them one last chance to prove themselves worthy of survival. Let the Ragnarok battles begin.",10759,tv,114868,/kTs2WNZOukpWdNhoRlH94pSJ3xf.jpg,[8],8.461,12.7194,,['Netflix']
Trollhunters: Tales of Arcadia,"After uncovering a mysterious amulet, an average teen assumes an unlikely destiny and sets out to save two worlds.",10759,tv,68267,/9VZmMzINVdO3ZYGsKItU39pNO2l.jpg,[8],8.44,17.4465,,['Netflix']
The Seven Deadly Sins,"The “Seven Deadly Sins”—a group of evil knights who conspired to overthrow the kingdom of Britannia—were said to have been eradicated by the Holy Knights, although some claim that they still live. Ten years later, the Holy Knights have staged a Coup d'état and assassinated the king, becoming the new, tyrannical rulers of the kingdom. Elizabeth, the king's only daughter, sets out on a journey to find the “Seven Deadly Sins,” and to enlist their help in taking back the kingdom.",10759,tv,62104,/gxTojpKEOtue85EEFlozwRbDXwJ.jpg,[8],8.431,4.5863,,['Netflix']
The Untamed,"Wei Wu Xian and Lan Wang Ji, two talented disciples of respected clans, meet during cultivation training and accidentally discover a secret carefully hidden for many years. Taking on the legacy of their ancestors, they decide to rid the world of the ominous threat.",10759,tv,90761,/8TZbpPpLQVS2i7P7yUVhrFlFsmW.jpg,[8],8.4,12.6502,,['Netflix']
Weak Hero,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",10759,tv,200709,/xRw3akJQdfgqx0x4fiHW7nIkEUJ.jpg,[8],8.409,27.5929,,['Netflix']
Naruto,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",10759,tv,46260,/xppeysfvDKVx775MFuH8Z9BlpMk.jpg,[8],8.364,64.6215,,['Netflix']
The Seven Deadly Sins: Four Knights of the Apocalypse,"As a prophecy of doom unfolds on the peaceful land of Britannia, a purehearted boy sets out on a journey of discovery — and revenge.",10759,tv,218843,/6SWVJvCIC9B16u6wASZ8FEaNssz.jpg,[8],8.362,33.6406,,['Netflix']
Outer Banks,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",10759,tv,100757,/ovDgO2LPfwdVRfvScAqo9aMiIW.jpg,[8],8.362,33.6339,,['Netflix']
Rurouni Kenshin,"Ten years have passed since the end of Bakumatsu, an era of war that saw the uprising of citizens against the Tokugawa shogunate. The revolutionaries wanted to create a time of peace, and a thriving country free from oppression. The new age of Meiji has come, but peace has not yet been achieved. Swords are banned but people are still murdered in the streets. Orphans of war veterans are left with nowhere to go, while the government seems content to just line their pockets with money.",10759,tv,210879,/9qvWdco2AsLvl6xIwUEh0MbyG4E.jpg,[8],8.4,16.0846,,['Netflix']
KENGAN ASHURA,"Ohma Tokita enters a hidden world where corporate disputes are settled in brutal gladiator bouts. Forget the money, he just wants to fight — and win.",10759,tv,90660,/tqR96OMBKzHNCNwJB3f3NsCkXbL.jpg,[8],8.352,12.8046,,['Netflix']
